time,dispx,velocity
0.06666666667,0,0
0.1333333333,0,0
0.2,0,0
0.2666666667,0,0
0.3333333333,0,0
0.4,0,0
0.4666666667,0,0
0.5333333333,0,0
0.6,0,0
0.6666666667,0,0
0.7333333333,0,0
0.8,0,0
0.8666666667,0,0
0.9333333333,0,0
1,0,0
1.066666667,0,0
1.133333333,0,0
1.2,0,0
1.266666667,0,0
1.333333333,0,0
1.4,0,0
1.466666667,0,0
1.533333333,0,-0
1.6,0,-0
1.666666667,0,0
1.733333333,0,0
1.8,0,0
1.866666667,0,0
1.933333333,0,0
2,0,0
2.066666667,0,0
2.133333333,0,0
2.2,0,0
2.266666667,0,0
2.333333333,0,0
2.4,0,0
2.466666667,0,0
2.533333333,0,0
2.6,0,0
2.666666667,0,0
2.733333333,0,0
2.8,0,0
2.866666667,0,0
2.933333333,0,0
3,0,0
3.066666667,0,0
3.133333333,0,0
3.2,0,0
3.266666667,0,0
3.333333333,0,0
3.4,0,0
3.466666667,0,0
3.533333333,0,0
3.6,0,0
3.666666667,0,0
3.733333333,0,0
3.8,0,0
3.866666667,0,0
3.933333333,0,-0
4,0,0
4.066666667,0,0
4.133333333,0,-0
4.2,0,0
4.266666667,0,0
4.333333333,0,0
4.4,0,0
4.466666667,0,0
4.533333333,0,0
4.6,0,0
4.666666667,0,0
4.733333333,0,0
4.8,0,0
4.866666667,0,0
4.933333333,0,0
5,0,-0
5.066666667,0,0
5.133333333,0,0
5.2,0,0
5.266666667,0,0
5.333333333,0,0
5.4,0,0
5.466666667,0,0
5.533333333,0,0
5.6,0,0
5.666666667,0,0
5.733333333,0,-0
5.8,0,0
5.866666667,0,0
5.933333333,0,0
6,0,0
6.066666667,0,0
6.133333333,0,0
6.2,0,0
6.266666667,0,0
6.333333333,0,0
6.4,0,0
6.466666667,0,0
6.533333333,0,0
6.6,0,0
6.666666667,0,0
6.733333333,0,0
6.8,0,0
6.866666667,0,0
6.933333333,0,0
7,0,0
7.066666667,0,-0
7.133333333,0,0
7.2,0,0
7.266666667,0,0
7.333333333,0,0
7.4,0,0
7.466666667,0,0
7.533333333,0,0
7.6,0,0
7.666666667,0,0
7.733333333,0,0
7.8,0,0
7.866666667,0,0
7.933333333,0,0
8,0,0
8.066666667,0,0
8.133333333,0,0
8.2,0,0
8.266666667,0,0
8.333333333,0,0
8.4,0,-0
8.466666667,0,0
8.533333333,0,0
8.6,0,0
8.666666667,0,0
8.733333333,0,0
8.8,0,0
8.866666667,0,0
8.933333333,0,0
9,0,0
9.066666667,0,0
9.133333333,0,0
9.2,0,0
9.266666667,0,0
9.333333333,0,0
9.4,0,0
9.466666667,0,0
9.533333333,0,0
9.6,0,0
9.666666667,0,0
9.733333333,0,0
9.8,0,-0
9.866666667,0,0
9.933333333,0,0
10,0,0
10.06666667,0,0
10.13333333,0,0
10.2,0,0
10.26666667,0,0
10.33333333,0,0
10.4,0,0
10.46666667,0,0
10.53333333,0,0
10.6,0,0
10.66666667,0,0
10.73333333,0,0
10.8,0,0
10.86666667,0,0
10.93333333,0,0
11,0,0
11.06666667,0,0
11.13333333,0,-0
11.2,0,0
11.26666667,0,0
11.33333333,0,0
11.4,0,0
11.46666667,0,0
11.53333333,0,0
11.6,0,0
11.66666667,0,0
11.73333333,0,0
11.8,0,0
11.86666667,0,0
11.93333333,0,0
12,0,0
12.06666667,0,0
12.13333333,0,0
12.2,0,0
12.26666667,0,0
12.33333333,0,0
12.4,0,0
12.46666667,0,0
12.53333333,0,-0
12.6,0,0
12.66666667,0,0
12.73333333,0,0
12.8,0,0
12.86666667,0,0
12.93333333,0,0
13,0,0
13.06666667,0,0
13.13333333,0,0
13.2,0,0
13.26666667,0,0
13.33333333,0,0
13.4,0,0
13.46666667,0,0
13.53333333,0,0
13.6,0,0
13.66666667,0,0
13.73333333,0,0
13.8,0,0
13.86666667,0,-0
13.93333333,0,0
14,0,0
14.06666667,0,0
14.13333333,0,0
14.2,0,0
14.26666667,0,0
14.33333333,0,0
14.4,0,0
14.46666667,0,0
14.53333333,0,0
14.6,0,0
14.66666667,0,0
14.73333333,0,0
14.8,0,0
14.86666667,0,0
14.93333333,0,0
15,0,0
15.06666667,0,0
15.13333333,0,0
15.2,0,0
15.26666667,0,-0
15.33333333,0,0
15.4,0,0
